Nome,parametro,valor
pimentalt,Kt-25,0.0121127662122199
pimentalt,Kt-26,0.0119842014135556
pimentalt,Kt-27,0.0118665778245243
pimentalt,Kt-28,0.0117592869911031
pimentalt,Kt-29,0.0116618171851927
pimentalt,Kt-30,0.0115737440234222
pimentalt,Kt-31,0.011494723307922
pimentalt,Kt-32,0.011424485819385
pimentalt,Kt-33,0.0113628338872946
pimentalt,Kt-34,0.0113096396463441
pimentalt,Kt-35,0.0112648449685154
pimentalt,Kt-36,0.0112284631435724
pimentalt,Kt-37,0.0112005824741004
pimentalt,Kt-38,0.0111813720635774
pimentalt,Kt-39,0.0111710902192178
pimentalt,Kt-40,0.0111700960824609
pimentalt,Kt-41,0.0111788653641691
pimentalt,Kt-42,0.011198011437573
pimentalt,Kt-43,0.0112283135908038
pimentalt,Kt-44,0.0112707550614664
pimentalt,Kt-45,0.0113265747328011
pimentalt,Kt-46,0.0113973383465301
pimentalt,Kt-47,0.0114850382795016
pimentalt,Kt-48,0.0115922362505437
pimentalt,Kt-49,0.0117222725029414
pimentalt,Kt-50,0.0118795814932595
pimentalt,Kt-51,0.0120701851313574
pimentalt,Kt-52,0.0123024962452593
pimentalt,Kt-53,0.012588695712269
pimentalt,Kt-54,0.0129472473852631
pimentalt,Kt-55,0.0134078799356194
pimentalt,Kt-56,0.0140225858702001
pimentalt,Kt-57,0.0148939251553599
pimentalt,Kt-58,0.016267369366833
pimentalt,Kt-59,0.0190001383310638
pimentalt,Kt-60,0.0439419119108916
pimentalt,Str,39.0013577657101
pimentalt,K2t,22.6201887152547
pimentalt,Crec,1.56255667093986
pimentalt,Ai,0.229694679457544
pimentalt,Capc,12.2404769520014
pimentalt,K_kt,146.273031343348
pimentalt,K2t2,10
pimentalt,H1,200
pimentalt,H,25.5300063468115
pimentalt,K3t,19.9868955090224
pimentalt,K1t,5.46537338051848
pimentalt,Ecof,0.894935160475113
pimentalt,Pcof,0.751539986791091
pimentalt,Ecof2,0
pimentalt,ktMin,60
pimentalt,ktMax,2
smesa,Area,51233
smesa,nKt,6
smesa,Kt2,0.0463918251840269
smesa,Kt1,0.504809560550839
smesa,Kt0,0.407756752072731
smesa,Kt-1,0.0410353377736768
smesa,Kt-2,6.52441872657281e-06
smesa,Kt-3,0
smesa,Kt-4,0
smesa,Kt-5,0
smesa,Kt-6,0
smesa,Kt-7,0
smesa,Kt-8,0
smesa,Kt-9,0
smesa,Kt-10,0
smesa,Kt-11,0
smesa,Kt-12,0
smesa,Kt-13,0
smesa,Kt-14,0
smesa,Kt-15,0
smesa,Kt-16,0
smesa,Kt-17,0
smesa,Kt-18,0
smesa,Kt-19,0
smesa,Kt-20,0
smesa,Kt-21,0
smesa,Kt-22,0
smesa,Kt-23,0
smesa,Kt-24,0
smesa,Kt-25,0
smesa,Kt-26,0
smesa,Kt-27,0
smesa,Kt-28,0
smesa,Kt-29,0
smesa,Kt-30,0
smesa,Kt-31,0
smesa,Kt-32,0
smesa,Kt-33,0
smesa,Kt-34,0
smesa,Kt-35,0
smesa,Kt-36,0
smesa,Kt-37,0
smesa,Kt-38,0
smesa,Kt-39,0
smesa,Kt-40,0
smesa,Kt-41,0
smesa,Kt-42,0
smesa,Kt-43,0
smesa,Kt-44,0
smesa,Kt-45,0
smesa,Kt-46,0
smesa,Kt-47,0
smesa,Kt-48,0
smesa,Kt-49,0
smesa,Kt-50,0
smesa,Kt-51,0
smesa,Kt-52,0
smesa,Kt-53,0
smesa,Kt-54,0
smesa,Kt-55,0
smesa,Kt-56,0
smesa,Kt-57,0
smesa,Kt-58,0
smesa,Kt-59,0
smesa,Kt-60,0
smesa,Str,127.265182680761
smesa,K2t,6.24805577877187
smesa,Crec,16.4599331484087
smesa,Ai,0
smesa,Capc,0.404001692115846
smesa,K_kt,68.1733446315776
smesa,K2t2,2.74611776594511
smesa,H1,7.74403374591189
smesa,H,200
smesa,K3t,10
smesa,K1t,10
smesa,Ecof,2.36186507231986
smesa,Pcof,1
smesa,Ecof2,0
smesa,ktMin,2
smesa,ktMax,2
sobradinho,Area,444688
sobradinho,nKt,48
sobradinho,Kt2,1.06666041415322e-05
sobradinho,Kt1,0.000236204783200624
sobradinho,Kt0,0.0012687609460064
sobradinho,Kt-1,0.00384349762025437
sobradinho,Kt-2,0.0085037647877203
sobradinho,Kt-3,0.0153992857419691
sobradinho,Kt-4,0.0242421162904925
sobradinho,Kt-5,0.0343816711651713
sobradinho,Kt-6,0.0449454642402361
sobradinho,Kt-7,0.0549978633036612
sobradinho,Kt-8,0.0636823084970477
sobradinho,Kt-9,0.0703267340529642
sobradinho,Kt-10,0.0745043199890744
sobradinho,Kt-11,0.0760509714743364
sobradinho,Kt-12,0.0750468919064095
sobradinho,Kt-13,0.0717726405997386
sobradinho,Kt-14,0.0666507578058091
sobradinho,Kt-15,0.0601830789735571
sobradinho,Kt-16,0.0528918895539817
sobradinho,Kt-17,0.0452706379712861
sobradinho,Kt-18,0.0377474523450378
sobradinho,Kt-19,0.0306624945588695
sobradinho,Kt-20,0.024258414705646
sobradinho,Kt-21,0.0186819213473158
sobradinho,Kt-22,0.0139937611670911
sobradinho,Kt-23,0.0101841513664192
sobradinho,Kt-24,0.00719083945409519
sobradinho,Kt-25,0.00491737015725449
sobradinho,Kt-26,0.00324970789078566
sobradinho,Kt-27,0.00206999456514372
sobradinho,Kt-28,0.00126683266357252
sobradinho,Kt-29,0.000742010372747243
sobradinho,Kt-30,0.000413990252104873
sobradinho,Kt-31,0.000218748872826274
sobradinho,Kt-32,0.000108684741417777
sobradinho,Kt-33,5.03233473260216e-05
sobradinho,Kt-34,2.14690326986038e-05
sobradinho,Kt-35,8.3160901392059e-06
sobradinho,Kt-36,2.86857482713145e-06
sobradinho,Kt-37,8.58274189468743e-07
sobradinho,Kt-38,2.14668386007078e-07
sobradinho,Kt-39,4.25230976764875e-08
sobradinho,Kt-40,6.13579584830968e-09
sobradinho,Kt-41,5.6082731233686e-10
